resource_code,name,type,category,unit,price_avg,price_min,price_max,currency,usage_count,parent_category,parent_collection,parent_department,parent_section
INS-PE-HERRAMIENTAS,Herramientas,equipment,EQUIPO,und,5.00,3.00,8.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-ARENA_GRUESA,Arena gruesa,material,MATERIALES,m3,35.00,30.00,42.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-CAPATAZ,Capataz,labor,MANO DE OBRA,hh,32.00,28.00,38.00,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-OPERARIO,Operario,labor,MANO DE OBRA,hh,28.00,24.00,33.00,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-OFICIAL,Oficial,labor,MANO DE OBRA,hh,22.00,19.00,26.00,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-PEÓN,Peón,labor,MANO DE OBRA,hh,1,,,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-MEZCLADORA_DE_9-11_P3,Mezcladora de 9-11 p3,equipment,EQUIPO,hm,30.00,25.00,38.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
"INS-PE-CLAVOS_2_1-2""","Clavos 2 1/2""",material,MATERIALES,kg,6.50,5.50,8.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-ADITIVO_DESMOLDANTE,Aditivo Desmoldante,material,MATERIALES,gal,32.00,25.00,40.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-MADERA_TORNILLO,Madera Tornillo,material,MATERIALES,und,4.50,3.80,5.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PINTURA_ESMALTE_SINTÉTICO,Pintura Esmalte Sintético,material,MATERIALES,gal,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-TOPÓGRAFO,Topógrafo,labor,MANO DE OBRA,hh,1,,,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-RETROEXCAVADORA_DE_1-2_A_,Retroexcavadora de 1/2 a 1 1/4  yd3,equipment,EQUIPO,hm,180.00,150.00,220.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-COMPACTADOR_VIBRATORIO_TI,"Compactador Vibratorio Tipo Plancha 5.8 HP, 145 kg",equipment,EQUIPO,hm,1,,,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-TEODOLITO,Teodolito,equipment,EQUIPO,hm,15.00,10.00,20.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-WINCHA_DE_LONA_DE_30_MTS.,Wincha de lona de 30 mts.,equipment,EQUIPO,und,2.00,1.00,3.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-REGLA_PARA_ACABADO_DE_FAL,"Regla para acabado de falso piso/piso 2""x4""x12'",material,MATERIALES,und,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-OPERADOR_DE_EQUIPO_LIVIAN,Operador de equipo liviano,labor,MANO DE OBRA,hh,30.00,26.00,36.00,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-CEMENTO_PORTLAND_TIPO_I_(,Cemento Portland Tipo I (42.5 Kg),material,MATERIALES,bls,28.00,26.00,32.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-ARENA_FINA,Arena fina,material,MATERIALES,m3,38.00,32.00,45.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-PIEDRA_CHANCADA_1-2""","Piedra chancada 1/2""",material,MATERIALES,m3,45.00,40.00,55.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-PIEDRA_CHANCADA_3-4""","Piedra chancada 3/4""",material,MATERIALES,m3,48.00,42.00,58.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PIEDRA_MEDIANA_DE_CANTERA,Piedra mediana de cantera o de río,material,MATERIALES,m3,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-HORMIGÓN,Hormigón,material,MATERIALES,m3,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-CLAVOS_DE_3""","Clavos de 3""",material,MATERIALES,kg,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-ALAMBRE_NEGRO_N°_8,Alambre negro N° 8,material,MATERIALES,kg,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-CLAVOS_3_1-2""","Clavos 3 1/2""",material,MATERIALES,kg,7.00,6.00,8.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-CLAVOS_DE_4""","Clavos de 4""",material,MATERIALES,kg,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-TRIPLAY_LUPUNA_4'X_8'_X_1,Triplay lupuna 4'x 8' x 19mm,material,MATERIALES,und,85.00,75.00,100.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-PERNOS_DE_1-2""","Pernos de 1/2""",material,MATERIALES,und,1.50,1.20,2.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-TUBO_PVC_3-4""","Tubo PVC 3/4""",material,MATERIALES,m,3.50,2.80,4.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-ALAMBRE_NEGRO_N°_16,Alambre negro N° 16,material,MATERIALES,kg,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-VIBRADOR_DE_4_HP,Vibrador de 4 HP,equipment,EQUIPO,hm,12.00,10.00,16.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-PASES_DE_MADERA,Pases de madera,material,MATERIALES,und,3.50,2.80,4.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-WINCHE_ELÉCTRICO,Winche eléctrico,equipment,EQUIPO,hm,1,,,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
"INS-PE-FIERRO_CORRUGADO_Ø_5-8""(P","Fierro corrugado Ø 5/8""(promedio)",material,MATERIALES,kg,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-CIZALLA,Cizalla,equipment,EQUIPO,hm,18.00,14.00,24.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-CONCRETO_PREMEZCLADO_F'C_,Concreto premezclado f'c variable,material,MATERIALES,m3,380.00,350.00,420.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-BOMBA_DE_CONCRETO,Bomba de concreto,equipment,EQUIPO,hm,180.00,150.00,220.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-LADRILLO_DE_ARCILLA_HUECO,Ladrillo de arcilla hueco 12 x 30 x30cm,material,MATERIALES,pza,2.80,2.30,3.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
